Algoritmo, Tamanho do Vetor, Tempo de Execução
InsertionSort, 20000, 158.00
InsertionSort, 40000, 650.00
InsertionSort, 60000, 1441.00
InsertionSort, 80000, 2786.00
InsertionSort, 100000, 4180.00
InsertionSort, 120000, 5780.00
InsertionSort, 140000, 7753.00
InsertionSort, 160000, 10256.00
InsertionSort, 180000, 12918.00
InsertionSort, 200000, 15878.00
InsertionSort, 220000, 19270.00
InsertionSort, 240000, 23010.00
InsertionSort, 260000, 26820.00
InsertionSort, 280000, 31636.00
InsertionSort, 300000, 36165.00
InsertionSort, 320000, 39784.00
InsertionSort, 340000, 44946.00
InsertionSort, 360000, 50529.00
InsertionSort, 380000, 56205.00
InsertionSort, 400000, 62398.00
MergeSort, 20000, 4.33
MergeSort, 40000, 11.33
MergeSort, 60000, 14.00
MergeSort, 80000, 15.00
MergeSort, 100000, 20.00
MergeSort, 120000, 22.67
MergeSort, 140000, 26.33
MergeSort, 160000, 29.33
MergeSort, 180000, 34.00
MergeSort, 200000, 36.33
MergeSort, 220000, 39.67
MergeSort, 240000, 44.33
MergeSort, 260000, 47.00
MergeSort, 280000, 49.33
MergeSort, 300000, 54.00
MergeSort, 320000, 58.00
MergeSort, 340000, 61.33
MergeSort, 360000, 64.00
MergeSort, 380000, 68.00
MergeSort, 400000, 72.33
QuickSort, 20000, 2.00
QuickSort, 40000, 3.00
QuickSort, 60000, 5.67
QuickSort, 80000, 9.33
QuickSort, 100000, 10.33
QuickSort, 120000, 12.33
QuickSort, 140000, 13.67
QuickSort, 160000, 16.67
QuickSort, 180000, 18.67
QuickSort, 200000, 21.67
QuickSort, 220000, 22.00
QuickSort, 240000, 24.00
QuickSort, 260000, 26.67
QuickSort, 280000, 30.00
QuickSort, 300000, 31.67
QuickSort, 320000, 33.67
QuickSort, 340000, 36.67
QuickSort, 360000, 39.00
QuickSort, 380000, 41.67
QuickSort, 400000, 44.67
